evaluation,metric_type,comparison,level,n_compared,n_agree,accuracy,n_any_overlap,any_overlap,cohen_kappa,cohen_kappa_weighted_by_support,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,n_excluded_blank_reference
Evaluation 3: EXP2 vs EXP1 vs PHY,underlying,EXP2_underlying vs PHY_underlying,full,3866,1730,0.4474909467149509,,,0.4154588913747622,,0.4474909467149509,0.4474909467149509,0.4474909467149509,0.30198292090425144,0.2651345986416908,0.24766583692874172,0.5589421951318108,0.4474909467149509,0.4666479804117074,1284
Evaluation 3: EXP2 vs EXP1 vs PHY,underlying,EXP2_underlying vs PHY_underlying,level2,3866,2310,0.5975168132436627,,,0.5415795021925781,,0.5975168132436627,0.5975168132436627,0.5975168132436627,0.3698123276107161,0.3071237161579943,0.3052324280268708,0.6745289320364036,0.5975168132436627,0.6104647582780218,1284
Evaluation 3: EXP2 vs EXP1 vs PHY,underlying,EXP2_underlying vs PHY_underlying,level1,3866,3151,0.8150543197102949,,,0.7184961968028498,,0.8150543197102949,0.8150543197102949,0.8150543197102949,0.5709905672757734,0.5635962841720403,0.5593382722999211,0.8415118561475454,0.8150543197102949,0.8232458194711928,1284
Evaluation 3: EXP2 vs EXP1 vs PHY,contributory,EXP2_contrib_set vs PHY_contrib,full,257,25,0.09727626459143969,111.0,0.43190661478599224,0.040613821953898795,0.2764764417038711,0.19964028776978418,0.43190661478599224,0.2730627306273063,0.04848495330335524,0.07507351868549406,0.05192507429500255,0.3658243997988301,0.43190661478599224,0.37742753674825186,4893
Evaluation 3: EXP2 vs EXP1 vs PHY,contributory,EXP2_contrib_set vs PHY_contrib,level2,257,41,0.15953307392996108,152.0,0.5914396887159533,0.08293421868501398,0.36065213600303503,0.2940038684719536,0.5914396887159533,0.39276485788113696,0.08954512591680701,0.1697570417092003,0.10839221197278456,0.44223220393440343,0.5914396887159533,0.4939992845499947,4893
Evaluation 3: EXP2 vs EXP1 vs PHY,contributory,EXP2_contrib_set vs PHY_contrib,level1,257,120,0.4669260700389105,204.0,0.7937743190661478,0.06954652288063932,0.26648650769012716,0.5878962536023055,0.7937743190661478,0.6754966887417219,0.16099486086822518,0.2224018320199367,0.17939224589591338,0.7104987921336575,0.7937743190661478,0.7379791272249864,4893
Evaluation 3: EXP2 vs EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,330,121,0.36666666666666664,,,0.3413739758207758,,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.22377657405707896,0.2713331516154097,0.20301705962896416,0.5051843245321506,0.36666666666666664,0.3930593372194713,4820
Evaluation 3: EXP2 vs EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,330,182,0.5515151515151515,,,0.4772333183482114,,0.5515151515151515,0.5515151515151515,0.5515151515151515,0.29292857955752993,0.3802268230281623,0.2671849661528725,0.6728434313738639,0.5515151515151515,0.5863434325353796,4820
Evaluation 3: EXP2 vs EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level1,330,243,0.7363636363636363,,,0.563691073219659,,0.7363636363636363,0.7363636363636363,0.7363636363636363,0.6045773323599035,0.5666706481923873,0.5809306266862552,0.7641938734259701,0.7363636363636363,0.7409615303468976,4820
Evaluation 3: EXP2 vs EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,3866,2127,0.5501810657009829,,,0.524710014016266,,0.5501810657009829,0.5501810657009829,0.5501810657009829,0.3538472388629379,0.385659892602067,0.3360139935102888,0.620061157555279,0.5501810657009829,0.5537210157278192,1284
Evaluation 3: EXP2 vs EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,level2,3866,2803,0.7250387997930677,,,0.6884241284224907,,0.7250387997930677,0.7250387997930677,0.7250387997930677,0.45859774225721034,0.49742806301982373,0.45318604168381177,0.7516103240000789,0.7250387997930677,0.729947774109722,1284
Evaluation 3: EXP2 vs EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,level1,3866,3346,0.8654940506983962,,,0.7971671280632221,,0.8654940506983962,0.8654940506983962,0.8654940506983962,0.6754871441339576,0.7178257074704959,0.6830261978009102,0.8793425417095734,0.8654940506983962,0.8704013476054695,1284
Evaluation 3: EXP2 vs EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,257,31,0.12062256809338522,128.0,0.4980544747081712,0.07432889883702737,0.33693776628714334,0.21993127147766323,0.4980544747081712,0.30512514898688914,0.07529449579844837,0.11155269549529867,0.08440091956002292,0.4001581089637256,0.4980544747081712,0.43370548644835666,4893
