stratum,va_type,age_group,sex,level,experiment,n_reference,n_predicted,n_causes_union,sum_abs_csmf_error,csmf_similarity,csmf_accuracy_chance_corrected
va_type_age_sex,child,5-9,female,level3,EXP3,83,73,34,0.856246905429939,0.5718765472850305,0.5718765472850305
va_type_age_sex,child,5-9,female,level3,EXP4,83,83,33,0.6987951807228915,0.6506024096385543,0.6506024096385543
va_type_age_sex,child,5-9,male,level1,EXP1,57,57,3,0.07017543859649122,0.9649122807017544,0.9574468085106383
va_type_age_sex,child,5-9,male,level1,EXP2,57,57,4,0.07017543859649128,0.9649122807017544,0.9649122807017544
va_type_age_sex,child,5-9,male,level1,EXP3,57,55,3,0.059968102073365226,0.9700159489633173,0.9636363636363636
va_type_age_sex,child,5-9,male,level1,EXP4,57,56,4,0.22055137844611525,0.8897243107769424,0.8897243107769424
va_type_age_sex,child,5-9,male,level2,EXP1,57,57,16,0.2807017543859649,0.8596491228070176,0.8596491228070176
va_type_age_sex,child,5-9,male,level2,EXP2,57,57,19,0.38596491228070173,0.8070175438596492,0.8070175438596492
va_type_age_sex,child,5-9,male,level2,EXP3,57,55,16,0.37703349282296644,0.8114832535885168,0.8114832535885168
va_type_age_sex,child,5-9,male,level2,EXP4,57,56,19,0.4686716791979949,0.7656641604010026,0.7656641604010026
va_type_age_sex,child,5-9,male,level3,EXP1,57,57,26,0.5263157894736843,0.7368421052631579,0.7368421052631579
va_type_age_sex,child,5-9,male,level3,EXP2,57,57,29,0.5614035087719298,0.7192982456140351,0.7192982456140351
va_type_age_sex,child,5-9,male,level3,EXP3,57,55,26,0.6539074960127591,0.6730462519936204,0.6730462519936204
va_type_age_sex,child,5-9,male,level3,EXP4,57,56,30,0.6923558897243106,0.6538220551378446,0.6538220551378446
va_type_age_sex,infant,0,female,level1,EXP1,278,278,6,0.302158273381295,0.8489208633093526,0.8489208633093526
va_type_age_sex,infant,0,female,level1,EXP2,278,278,6,0.49640287769784164,0.7517985611510791,0.7517985611510791
va_type_age_sex,infant,0,female,level1,EXP3,278,237,6,0.19809974804966152,0.9009501259751692,0.9009501259751692
va_type_age_sex,infant,0,female,level1,EXP4,278,278,6,0.41726618705035967,0.7913669064748201,0.7913669064748201
va_type_age_sex,infant,0,female,level2,EXP1,278,278,15,0.3525179856115107,0.8237410071942446,0.8237410071942446
va_type_age_sex,infant,0,female,level2,EXP2,278,278,19,1.028776978417266,0.485611510791367,0.485611510791367
va_type_age_sex,infant,0,female,level2,EXP3,278,237,17,0.258112497343897,0.8709437513280515,0.8709437513280515
va_type_age_sex,infant,0,female,level2,EXP4,278,278,20,0.9712230215827338,0.5143884892086331,0.5143884892086331
va_type_age_sex,infant,0,female,level3,EXP1,278,278,21,0.38129496402877694,0.8093525179856116,0.8093525179856116
va_type_age_sex,infant,0,female,level3,EXP2,278,278,24,1.050359712230216,0.474820143884892,0.474820143884892
va_type_age_sex,infant,0,female,level3,EXP3,278,237,21,0.2662781167471086,0.8668609416264457,0.8668609416264457
va_type_age_sex,infant,0,female,level3,EXP4,278,278,23,0.9784172661870503,0.5107913669064749,0.5107913669064749
va_type_age_sex,infant,0,male,level1,EXP1,223,223,5,0.3318385650224216,0.8340807174887892,0.8340807174887892
va_type_age_sex,infant,0,male,level1,EXP2,223,221,6,0.48941825781709714,0.7552908710914514,0.7552908710914514
va_type_age_sex,infant,0,male,level1,EXP3,223,184,6,0.22363033729771886,0.8881848313511406,0.8881848313511406
va_type_age_sex,infant,0,male,level1,EXP4,223,223,6,0.44843049327354256,0.7757847533632287,0.7757847533632287
va_type_age_sex,infant,0,male,level2,EXP1,223,223,16,0.4304932735426009,0.7847533632286996,0.7847533632286996
va_type_age_sex,infant,0,male,level2,EXP2,223,221,21,1.0241665483026603,0.48791672584866985,0.48791672584866985
va_type_age_sex,infant,0,male,level2,EXP3,223,184,17,0.32598947163189707,0.8370052641840515,0.8370052641840515
va_type_age_sex,infant,0,male,level2,EXP4,223,223,18,0.905829596412556,0.547085201793722,0.547085201793722
va_type_age_sex,infant,0,male,level3,EXP1,223,223,17,0.4304932735426009,0.7847533632286996,0.7847533632286996
va_type_age_sex,infant,0,male,level3,EXP2,223,221,24,1.0241665483026603,0.48791672584866985,0.48791672584866985
va_type_age_sex,infant,0,male,level3,EXP3,223,184,20,0.32598947163189707,0.8370052641840515,0.8370052641840515
va_type_age_sex,infant,0,male,level3,EXP4,223,223,21,0.905829596412556,0.547085201793722,0.547085201793722
