stratum,va_type,level,experiment,null_model,n_simulations,n_reference,n_predicted,observed_csmf_accuracy,null_mean,null_sd,null_p2_5,null_p50,null_p97_5,observed_minus_null_mean,observed_percentile_vs_null,empirical_p_sim_ge_observed
overall,overall,level3,EXP2,overall_physician_prior,1000,3866,3857,0.7263878562918169,0.957980310391449,0.0049151811546520215,0.9477277465645199,0.9581480354765667,0.967067610476877,-0.23159245409963214,0.0,1.0
overall,overall,level3,EXP2,stratum_physician_prior,1000,3866,3857,0.7263878562918169,0.9577556766967603,0.004886798465124484,0.9477873079674696,0.9578913827817972,0.9673419373924395,-0.23136782040494341,0.0,1.0
overall,overall,level3,EXP3,uniform_codes,1000,3866,3579,0.7086286952674299,0.5254050633149315,0.006923748183409158,0.511706654854193,0.5252108118111725,0.5394632933162291,0.18322363195249836,1.0,0.000999000999000999
overall,overall,level3,EXP3,overall_physician_prior,1000,3866,3579,0.7086286952674299,0.9560918591163706,0.004919399978204389,0.9460995576828611,0.9562277725426495,0.9650915069109116,-0.24746316384894074,0.0,1.0
overall,overall,level3,EXP3,stratum_physician_prior,1000,3866,3579,0.7086286952674299,0.9562506311974371,0.0049815341468476175,0.9458970431585426,0.9562955099225864,0.9657543193423475,-0.24762193593000725,0.0,1.0
overall,overall,level3,EXP4,uniform_codes,1000,3866,3863,0.7242725130869369,0.5256913259741222,0.006626802321524185,0.5132676913926832,0.5256754045997805,0.5388894490772075,0.1985811871128147,1.0,0.000999000999000999
overall,overall,level3,EXP4,overall_physician_prior,1000,3866,3863,0.7242725130869369,0.9577956744903636,0.004803514685468441,0.9483995708112826,0.9578478141548555,0.9665764380216464,-0.23352316140342677,0.0,1.0
overall,overall,level3,EXP4,stratum_physician_prior,1000,3866,3863,0.7242725130869369,0.9579709157666909,0.004760380093299235,0.9481046659872965,0.9582170584431393,0.9671890533435094,-0.23369840267975406,0.0,1.0
va_type,adult,level1,EXP1,uniform_codes,1000,2453,2453,0.9910313901345291,0.5987604166666668,0.010387391085025897,0.5783333333333334,0.5991666666666666,0.6183437500000001,0.3922709734678623,1.0,0.000999000999000999
va_type,adult,level1,EXP1,overall_physician_prior,1000,2453,2453,0.9910313901345291,0.9024504166666667,0.010314647559692457,0.8833333333333333,0.9020833333333333,0.9220833333333334,0.08858097346786242,1.0,0.000999000999000999
va_type,adult,level1,EXP1,stratum_physician_prior,1000,2453,2453,0.9910313901345291,0.9885437499999999,0.006058416327841544,0.97375,0.9895833333333334,0.9970833333333333,0.0024876401345291788,0.61,0.3906093906093906
va_type,adult,level1,EXP2,uniform_codes,1000,2453,2447,0.9294566205930171,0.5985082516005994,0.010686245049026905,0.5778660945375289,0.5983328225037461,0.6192172387958044,0.33094836899241775,1.0,0.000999000999000999
va_type,adult,level1,EXP2,overall_physician_prior,1000,2453,2447,0.9294566205930171,0.9026992068519275,0.010146765227932864,0.8815353834627435,0.9026229396539981,0.922259654679199,0.026757413741089642,0.996,0.004995004995004995
va_type,adult,level1,EXP2,stratum_physician_prior,1000,2453,2447,0.9294566205930171,0.988339148447078,0.006135549829254193,0.9733686571992917,0.9893211074785451,0.9972375485288107,-0.058882527854060895,0.0,1.0
va_type,adult,level1,EXP3,uniform_codes,1000,2453,2289,0.9478565756181259,0.5979924475753605,0.010876032761002935,0.5755459079656328,0.5978718872870248,0.6184117882627057,0.34986412804276534,1.0,0.000999000999000999
va_type,adult,level1,EXP3,overall_physician_prior,1000,2453,2289,0.9478565756181259,0.9029196344837629,0.010542096903215122,0.8831602455584681,0.9032643439638852,0.923804244939566,0.04493694113436297,1.0,0.000999000999000999
